ship,constellation,sensor,min,mean,max,median
Ship1,6-sat,SAR,0.08070999999841054,1.5941173412733607,9.968517222205797,0.2448748611079322
Ship1,6-sat,Fusion,0.028128055532773335,0.9686533333315994,9.968517222205797,0.14535027775499557
Ship1,12-sat,SAR,0.2910925000243717,0.8417592444419861,3.073988611102104,0.3067738888661067
Ship1,12-sat,Fusion,0.011745000018013848,0.514083786542304,3.073988611102104,0.2907133333219422
Ship1,32-sat,SAR,0.000441111061308119,0.3334969753076019,3.980149444407887,0.03018430554204517
Ship1,32-sat,Fusion,0.000441111061308119,0.2909691049311877,3.980149444407887,0.0565284722050031
Ship2,6-sat,SAR,0.012018055518468221,2.4977134999963972,11.410134722193082,0.3659736111429003
Ship2,6-sat,Fusion,0.010456944439146253,1.0616172222175984,10.138046111133363,0.1274297222163942
Ship2,12-sat,SAR,0.2906347221798367,0.8778106159461293,3.1887705555889343,0.30396138893233404
Ship2,12-sat,Fusion,0.0007466666566001045,0.3310617515389566,3.160457222196791,0.14489597221215567
Ship2,32-sat,SAR,0.02104888889524672,0.46907330159346267,4.699286388887299,0.0809733333852556
Ship2,32-sat,Fusion,0.0009697222709655762,0.2943600000061241,4.699286388887299,0.06389805555343628
Ship3,6-sat,SAR,0.009738888872994317,2.690810624990198,9.816828055514229,0.3844544444481532
Ship3,6-sat,Fusion,0.009738888872994317,0.948368131313661,8.972917777763472,0.13196638888782924
Ship3,12-sat,SAR,0.29193638894293045,0.8294163111103905,2.53945138891538,0.31524027778042685
Ship3,12-sat,Fusion,0.0004977777931425306,0.30061258258225326,2.53945138891538,0.14486805551581913
Ship3,32-sat,SAR,0.002700833280881246,0.5107821771762034,4.0884430555502576,0.07868722220261892
Ship3,32-sat,Fusion,0.002700833280881246,0.24471750771557843,4.087989444401529,0.03778805557224486
